transaction_id,product,category,quantity,price
1001,Coke,Drinks,5,15
1002,Bread,Food,3,20
1003,Milk,Dairy,2,18
1004,Eggs,Dairy,4,35
1005,Chips,Snacks,6,22
1006,Soap,Household,2,45
1007,Fanta,,4,16
1008,Sprite,,5,16
1009,Juice,Drinks,3,20
1010,Bread,Food,-2,20
1011,Coke,Drinks,0,15
1012,Milk,Dairy,5,-18
1013,Eggs,Dairy,abc,35
1014,Chocolate,Snacks,4,xyz
1015,Coke,Drinks,3,15
1016,Coke,Drinks,3,15
1016,Coke,Drinks,3,15
1017,,Food,2,20
1018,Rice,,5,40
1019,Beans,Food,10,18
1020,Water,Drinks,1000,10
1021,TV,Electronics,1,5000
1022,Coffee,Drinks,6,45
1023,Tea,Drinks,5,30
1024,Butter,Dairy,4,55
1025,Yogurt,Dairy,8,18
1026,Cereal,Food,7,60
1027,Apple,Food,12,8
1028,Banana,Food,15,6
1029,Orange,Food,10,9
1030,Detergent,Household,3,90
1031,Toothpaste,Household,4,40
1032,Dish Soap,Household,2,38
1033,Ice Cream,Dairy,5,42
1034,Biscuits,Snacks,8,18
1035,Chocolate,Snacks,6,25
1036,Energy Drink,,7,28
1037,Cookies,Snacks,4,20
1038,Sugar,Food,9,25
1039,Flour,Food,5,32
1040,Coke,Drinks,999999,15
1041,Soap,Household,1,45
1042,Milk,Dairy,4,18
1043,Eggs,Dairy,2,35
1044,Coke,Drinks,5,15
1045,Water,Drinks,4,10
1046,Apple Juice,,3,22
1047,Pasta,Food,5,30
1048,Rice,Food,6,40
1049,Beans,Food,7,18
1050,Soap,Household,2,45
